RADZIHOVSKY, L
PUGLISI, A
PETRI, A
BEDNARZ, M
BAXTER, RJ
HINZKE, D
SANCHO, MPL
CHEN, AS
GODFRIN, H
SCHANEN, R
RENOBLE, FS
SHIRLEY, EL
GOLDNER, LS
MCDANIEL, EB
TONUCCI, RJ
RAISANEN, VI
SEPPALA, ET
MURYSHEV, AE
KULDA, J
BOGOMOLNY, EB
ROUBEN, DC
PAUL, B
LINKS, J
KINGSMITH, RD
GIRON, B
MASTELLONE, A
BILL, A
WOLF, SA
SOFO, JO
BARTKOWIAK, M
MAES, C
SPITZER, W
SASAKI, R
SMIRNOV, D
LEOTIN, J
HANSEN, P
BREDA, N
COLO, G
ONIDA, G
PONOMAREV, V
SCHWARTZ, A
DRESSEL, M
GRUNER, G
VESCOLI, V
DEGIORGI, L
KHANDELWAL, P
KUZMA, NN
BARRETT, SE
DIRSCHERL, G
MUTOU, T
SAMPOLI, M
CHARLAIX, E
CILIBERTO, S
CRASSOUS, J
ROTERS, L
TESSIERI, L
LEPETIT, M
COUSY, M
PASTOR, GM
ENRIQUEZ, H
WILDE, YD
MICHELETTI, MI
REGO, LGC
NORDLANDER, P
LANGRETH, DC
DJORDJEVIC, S
MOFFAT, S
PRESTON, J
CASTEL, X
GUILLOUXVIRY, M
PERRIN, A
RAVIKUMAR, G
SCHIRMACHER, W
DIEZEMANN, G
GANTER, C
KEIJSERS, RJP
SHKLYAREVSKII, OI
KEMPEN, HV
MEREGALLI, V
ANGELESCU, DE
ZHENG, LSB
GEVORKIAN, ZS
GLUKHOV, AM
POKHILA, AS
DMITRENKO, IM
KOLINKO, AE
PANCHEKHA, AP
ALEXANDER, FJ
EYINK, GL
SOLE, RV
NIELEBA, P
YOKOYA, Y
NAKAMURA, YO
IRKHIN, YP
ELBURG, RAJV
LAU, AWC
SMOLINSKI, H
PEUCHERT, U
ROTH, G
PINI, D
BERGEMANN, C
JULIAN, SR
FARRELL, DE
MULLER, TFA
ANISIMOV, V
SAHADASGUPTA, T
NICOLAIDES, D
KOZLOWSKI, P
BERGER, SD
WU, J
WIDOM, A
CABRILLO, C
CUELLO, GJ
GARCIAFERNANDEZ, P
BERMEJO, FJ
PRUNERI, V
SAMOGGIA, F
KAZANSKY, PG
BENNINGTON, SM
LAHERRERE, J
COSENTINI, AC
GUIDONI, L
BURGESS, C
CLINE, J
LUTKEN, A
TSAI, SH
JACOBSON, TA
ZHANG, MMY
GEBAROWSKI, R
SANTACLARA, P
GARCIAMARTIN, A
TORRES, JA
NIETOVESPERINAS, M
FLECK, M
HEDIN, L
FERREIRA, FF
HIGGS, PG
KOCKELKOREN, J
ADZHEMYAN, LT
ANTONOV, NV
RENKEN, RL
YATES, A
STERN, J
FRASCA, M
KIMURA, M
GOLNER, GR
BURCHARD, A
KAPLAN, DB
SAVAGE, MJ
WISE, MB
DOKSHITZER, YL
STEVENINCK, RDRV
SORENSEN, ES
BELLUCCI, S
KONDRAT, G
OLKIEWICZ, R
ANCILOTTO, F
SERRA, S
CARMONA, JM
CALANDRA, M
DOOLEN, GD
MAINIERI, R
REHACEK, J
LUCHNIKOV, VA
PEREZ, A
YUMOTO, M
BONVIN, JC
MARTIN, PA
SATTO, C
NAKAO, H
AND, AS
VATHSAN, R
CAMPBELL, CE
KROTSCHECK, E
CHOI, T
RYU, C
MORICONI, L
TAKAKURA, FI
SKOULAKIS, S
THOMAS, S
GAUTAM, S
SHUKLA, DK
SINGH, A
KOL, B
SCHUMANN, R
BAXTER, DV
REDNER, O
SMONDYREV, MA
JR, RE
GILLER, D
KUSKO, C
CHENG, CH
ANDRADE, MCD
CHAU, R
DICKEY, RP
DILLEY, NR
FREEMAN, EJ
PYKA, N
LOEWENHAUPT, M
AIN, M
LORENZO, JE
HENNION, B
KURTZE, DA
MCGOULDRICK, K
GE, XY
ZHANG, YZ
ZHOU, HQ
SUNG, W
PARK, PJ
YAJIMA, A
TSUKADA, M
ICHIMURA, M
HASHIZUME, T
MCKANE, A
HOU, Q
LEHNEN, M
NATELSON, D
ROSENBERG, D
OSHEROFF, DD
UILENREEF, MJ
VAART, NCVD
CARLO, AD
LUGLI, P
SCHOERKHUBER, K
ZILLICH, R
VALLEJOS, RO
MELIKIDZE, A
PRIVITERA, G
MATTERS, M
WHITE, O
STEKELENBURG, W
KUGEL, KI
BUERGLER, DE
SCHALLER, DM
SCHMIDT, CM
MEISINGER, F
MCCORD, J
HUBERT, A
GUENTHERODT, HJ
KOIKEGAMI, S
SHELANKOV, A
KAMINSKI, A
POLIZZI, E
UNIVERSITY, TTO
WALDTMANN, C
TRIPATHI, V
MASKA, MM
PIERCE, M
MORIYAMA, O
KUROIWA, N
HAYAKAWA, MMH
KAULKE, M
JARVIS, S
CHEUNG, RJP
KWONG, YR
PADUA, AD
PARISIOFILHO, F
AHN, KH
BUDANTSEV, MV
KVON, ZD
POGOSOV, AG
GUSEV, GM
MOSHEGOV, NT
TOROPOV, AI
ASCHAUER, H
SCHLIECKER, G
MAZZINO, A
VERGASSOLA, M
HUBER, G
RUBO, YG
BACHTELER, J
KOCH, W
BELLAICHE, L
BOMAN, M
LEE, HH
PICCIOTTO, RD
NEUBERT, A
TUTSCH, U
MAMASAKHLISOV, ES
SHAHINIAN, VFMMS
ZEITLER, U
ALAM, S
KHAN, MN
ALI, J
TIMOSHENKO, EG
DYAKONOV, AM
NISHIKIDO, K
THESSIEU, C
ZHENG, G
KITAOKA, Y
ASAYAMA, K
HAUSER, R
ROEHNER, BM
LAVRENTIEV, MY
ISHIDA, K
LAPERTOT, G
KAMISHIMA, K
GOTO, T
KOTTMANN, JP
MALET, B
GORDON, D
QIU, XG
MOSHCHALKOV, VV
KARPINSKI, J
JAKOB, G
ADRIAN, H
SCHICK, M
USUKURA, J
SCHMITTBUHL, J
CRUZ, W
SEBA, S
KOSTOV, KS
FREED, KF
JIE, Y
HAIJUN, Z
POTYLITSIN, AP
OHMI, T
DIETEL, J
KOSCHNY, T
BEZUGLYI, EV
GAIDUK, AL
FIL, VD
JOHNSON, WL
BRULS, G
LUETHI, B
WOLF, B
ZHERLITSYN, S
BRAVERMAN, GM
GREDESKUL, SA
CRUZ, WD
KUZNETSOV, DV
KLEIN, R
THANAWALLA, AS
LOPEZ, DR
MORO, E
THIRSTRUP, C
CKA, VVS
LIPAVSKY, P
SAKURAI, M
PEREZMURANO, F
BRUIN, C
BRUNNET, LG
FILLIPOV, A
ZELTSER, A
ZLOSHCHASTIEV, KG
KOUTSOUMBAS, G
GREINER, C
LEUPOLD, S
LAIX, AD
REICHENBACH, CV
NETO, MBS
SALCEDO, LL
MIRANSKY, VA
SHPAGIN, AV
SVESHNIKOV, NA
DYNIN, A
BICUDO, P
JOHNSON, CW
DEAN, DJ
CHAKRAVARTY, C
MONDELLO, M
III, EBW
PECZAK, P
DRASDO, D
HATANO, T
TAKAMURA, A
YASCHENKO, E
PLEROU, V
ALEXANDRE, J
HARADA, I
URASAKI, K
BISWAL, B
MANWART, C
LUNDIN, NI
CHOUVAEV, D
KUZMIN, LS
JOHAL, RS
KIREEV, VE
KARBOWSKI, J
VAMVAKAS, JA
SALDIN, DK
BLUM, V
OTT, M
WEDLER, H
DOELL, R
HEINZ, K
BRION, SD
CIORCAS, F
CHOUTEAU, G
LEJAY, P
RADAELLI, P
CHAILLOUT, C
LAY, W
DERENYI, I
LEE, C
VENEGAS, PA
NETTO, PRS
GAGLIARDINI, P
BENFATTO, G
GENTILE, G
MASTROPIETRO, V
KRAVCHENKO, V
MININA, N
SAVIN, A
HANSEN, OP
KRAAK, W
BELLISSENTFUNEL, MC
KOERNER, U
PEREZVICENTE, C
SOLER, J
DECCA, RS
MAIOROV, B
GUIMPEL, J
OSQUIGUIL, E
SAAD, D
KHAVIN, YB
BOGDANOV, AL
KTITAREV, DV
OSTERLOH, A
LOWEN, H
PAIROR, P
PASHITSKII, EA
PENTEGOV, VI
KATO, K
KWON, Y
THEISSEN, O
KROLL, DM
RUEDIGER, U
YU, J
LEVY, PM
ZHONG, Y
PARKIN, SSP
BERNHARD, R
KRISHNAKUMAR, SR
CHANDRASEKHARAN, N
YEUNG, C
STADLER, C
LANGE, H
BURKARD, G
SHTENGEL, K
MAISINGER, K
HASLINGER, R
SAITO, H
SCHILLER, R
MUELLER, W
SHIMIZU, A
LUCHINI, MU
MILSHTEIN, E
MISGUICH, G
MUETTER, K
MUELLER, G
I, AC
SCHMIDT, HJ
VITKALOV, SA
CHAINANI, A
VESCOVO, E
CARBONEI, C
EBERHARDT, W
RADER, O
HELLWIG, CJC
GUDAT, W
JONES, AKRBA
MASUDA, T
FUJIOKA, A
UCHIYAMA, Y
TSUKADA, I
ABAD, E
ANGELANI, L
KNOPS, HPA
WEEKS, JD
SVIDZINSKY, A
FETTER, A
LA, MGADR
AKUTSU, N
ROGIERS, J
ONIDA, SALRRDSG
HOUDAYER, J
MONVEL, JHBD
WITTMER, J
CLARKE, S
INGLESFIELD, JE
NEKOVEE, M
BOER, PKD
DOROFEEV, EA
CERNE, J
SIMPSON, JR
SHREEKALA, R
RAJESWARI, M
MARCULESCU, S
RUIZ, FR
BOWMAN, DD
OUILLON, G
SORNETTE, A
POPOVICH, LV
HOOD, RQ
RAJAGOPAL, G
DAVIES, JJ
HEIMBRODT, W
HAPP, M
JONCKHEERE, T
SAO, JFFIDFD
TERRA, MO
TIAGO, ML
AGUIAR, MAMD
SHI, K
LIM, YF
GOVERNALE, M
UNGARELLI, C
BACHMANN, L
RAJANTIE, A
SASLOW, WM
CORRADINI, M
SOLE, RD
PALUMMO, M
GODBY, LRGORW
GARANIN, DA
JOUAULT, B
HOLDER, JP
BOERO, M
FAINI, G
LARUELLE, F
BEDEL, E
INKSON, JC
BENHUR, A
ZINNJUSTIN, J
BHATTACHARYYA, S
WEISSE, A
VILLAINGUILLOT, S
ROVERE, M
RICCI, MA
VELLATI, D
BRUNI, F
SIEGERT, S
FRIEDRICH, R
PEINKE, J
YUE, S
PHAM, V
KOZLOV, MM
LICHTENBERG, D
NETZ, RR
CHATELLIER, X
MENDES, RS
SILVA, LRD
PRIEL, A
IKEGAMI, T
HOSSEINI, A
KAMAL, S
DEKEL, E
GERSHONI, D
EHRENFREUND, E
GARCIA, DSJM
KAMIENIARZ, G
DEKEYSER, R
DUDA, LC
GUO, JH
NORDGREN, J
PERELYAEV, VA
REICHELT, W
FAKIR, R
NISHINO, A
CHUPRIKOV, NL
HARTWIGSEN, C
RINALDO, A
RODRIGUEZITURBE, I
BOUWELEN, FMV
ANTENEODO, C
WANG, ZD
FULDE, PDP
BELOUSOV, AI
LOZOVIK, YE
PARRONDO, JMR
BLANCO, JM
CAO, FJ
ILINSKAIA, A
REATTO, L
MADRID, AP
MATTHEWS, MR
HALL, DS
JIN, DS
ENSHER, JR
WIEMAN, CE
VILLARD, G
MAIGNAN, A
HENRY, BI
WATT, SD
DIETRICH, R
KOS, S
POUSHNOV, AV
CELEGHINI, E
REJEC, T
SKOROBOGATIY, M
ZUCKERMANN, MJ
ROEPKE, G
SCHNELL, A
WEHT, R
BENZA, VG
CARDINETTI, B
PAREDES, B
PIEPER, MW
WIEKHORST, F
ANTONOV, VN
TAKAYANAGI, H
MERKT, R
DAS, D
KASHIWAYA, AS
SOKOLOV, AI
ULKOV, VA
ORLOV, EV
GERLACH, B
WUESTHOFF, J
DZERO, MO
PAASO, J
BENNETTWOOD, D
GAUNT, DS
LEASK, JL
OWCZAREK, AL
WHITTINGTON, SG
POLTURAK, E
NESHER, O
MINTS, R
SNAPIRO, I
GOSSIAUX, PB
PLUHAR, Z
LEE, Y
GRYNBERG, MD
ZUCKERMANN, M
EOM, J
CHIEN, C
CHANDRASEKHAR, V
GONZALEZ, C
BERMAN, D
GOPIKRISHNAN, P
ANTONENKO, SA
VARNASHEV, KB
SIL, S
STAHLSMEIER, M
SABLIKOV, VA
SHCHAMKHALOVA, BS
CASTELLANOS, A
SIGALAS, MM
MILLER, HG
VERMA, MK
DAR, G
CARLO, GD
VANDERHEYDEN, B
SEMENOFF, GW
WIJEWARDHANA, LCR
BERERA, A
RAMOS, RO
BYTSKO, AG
FRING, A
FERRARI, F
LAZZIZZERA, I
GANGULY, AK
PAL, PB
RUELLE, P
VERHOEVEN, O
PETKOU, AC
VLACHOS, ND
ABDALLA, E
SEVERA, P
RICHERT, J
SIMON, B
MANDAL, BP
SAMARAS, I
ZIOUTAS, K
KIEFER, C
JOOS, E
WIELE, C
MIRI, F
CATICHA, A
MILLER, JH
SKOROBOGATYY, M
STILES, MD
KENT, PRC
TOWLER, MD
SCHAFER, S
TWORZYDLO, J
CA, MG
LA, UDR
HUSSEIN, M
KERMAN, A
SILVESTRELLI, PL
PARRINELLO, M
BAHIANA, M
MORGADO, WAM
MARANI, M
KADAR, G
PASLER, V
SCHWEISS, P
MEINGAST, C
OBST, B
WUEHL, H
RYKOV, AI
TAJIMA, S
WALASEK, K
WALASEK, KL
CESARE, LD
RABUFFO, I
CHRISTENSEN, JJ
POZA, M
KOSTIC, P
OKADA, Y
SCHLESINGER, Z
REINER, JW
KLEIN, L
GEBALLE, TH
LI, W
WANG, T
KOTECKY, R
RUVINSKY, AM
THILAGAM, A
GRODZICKI, M
APPEL, J
MULLER, CA
DESTAINVILLE, N
ROTHMAN, DH
MANFRA, MJ
PFEIFFER, BBGL
WEST, K
LINDGREN, K
NORDAHL, MG
CONTI, M
SHPOT, M
TITANTAH, JT
HOUNKONNOU, MN
NUNNER, TS
REZAYI, EH
OSHAUGHNESSY, B
VAVYLONIS, D
EVANGELISTA, LR
MALACARNE, LC
LENZI, EK
TROVATO, A
BIROLI, G
CANNING, D
OLEMSKOI, AI
KISELEV, AD
TANGUY, A
GOUNELLE, M
WIECZERKOWSKI, C
GRUENINGER, M
PRESURA, C
PALSTRA, TTM
JEGOUDEZ, J
DEMICHELIS, F
WONG, KYM
THEIS, C
MERINO, J
METLUSHKO, V
WELP, U
CRABTREE, GW
ROGACKI, K
DABROWSKI, B
MIYADERA, T
SRIVASTAVA, V
OLSHANII, M
CAUX, J
WOO, JC
KIM, WS
KO, HS
LEEM, YA
KIM, DS
SCHMIEDEL, T
ALAVA, M
ROSCISZEWSKI, K
PASQUALI, S
SARDELLA, E
CHOI, JS
KONG, YS
BEMMEL, HJMV
KIRCHNER, S
KANDEL, D
ISRAELI, N
RINZLER, AG
LI, YQ
SHI, DN
GOLDSTEIN, S
JOHNSON, ST
LLOYD, SH
AEGERTER, CM
LEE, SL
CUBITT, R
KEALEY, PG
AGER, C
RYKOV, A
KLEEFISCH, S
ALFF, L
SCHOOP, U
MARX, A
GROSS, R
NAITO, M
IWAZAKI, A
TANK, RW
KRIER, G
KIM, KH
JUNG, JH
NOH, TW
KALINOWSKI, E
CHAKRABARTI, A
CLAUSS, W
BERGERON, DJ
JOHNSON, AT
TIKHONOV, DA
POLOZOV, RV
GORELOV, AV
SANVITO, S
KEMP, JP
CHEN, ZY
YAMASHITA, Y
VASILYEV, OA
WEIKL, TR
HELFRICH, W
ONUFRIEVA, F
PFEUTY, P
KISELEV, M
CHAUVE, P
PAVOLOTSKY, AB
WEIMANN, T
SCHERER, H
KRUPENIN, VA
NIEMEYER, J
ZORIN, AB
CHULKOV, EV
SARRIA, I
SILKIN, VM
ECHENIQUE, PM
CALAN, CD
SAVVATEEV, MN
SUH, BJ
YOSHINARI, Y
THOMPSON, JD
HAMMEL, PC
ANDRIEU, S
BAUER, P
PIECUCH, M
TANG, J
NISHINO, M
YAMAGUCHI, K
BABAEV, E
NICKEL, JH
CARVALHO, RJFLD
HANSEN, JP
FRANCESCHETTI, A
GOZE, C
MARTORELL, J
NAVEZ, P
DENG, Y
NIE, X
SCHOENBORN, O
DESAI, RC
NAGEL, P
LEBEDKIN, S
KOMATSU, K
BOUCHER, JP
MARI, PO
ALEGRIA, IACA
COLMENERO, J
WENSELL, M
WANG, N
ALIAGA, H
AHMED, Z
NORDSTROM, KB
BIRNIR, B
KONO, J
NODA, T
AKIYAMA, H
SAKAKI, H
LOK, JGS
TIEKE, B
STODDART, JCMST
HYNDMAN, RJ
GALLAGHER, BL
HENINI, M
WAGENSBERG, RPJ
BUSCH, K
KAFESAKI, M
BOUIS, F
BRUYNDONCX, V
ROSSEEL, E
LOOK, LV
BAERT, M
BAEL, MJV
PUIG, T
STRUNK, C
WANG, B
VALIGNAT, MP
NICODEMUS, R
PILLOUD, DL
DUTTON, PL
ZEPPENFELD, P
KRZYZOWSKI, MA
COMSA, G
HAU, LV
BUSCH, BD
BURNS, MM
GOLOVCHENKO, JA
DUTTON, Z
STADLER, J
KRUL, F
KRONMUELLER, S
DIETSCHE, W
WEIS, J
EOM, DJ
LEYVRAZ, F
MARTINEZMEKLER, G
ROMBOUTS, S
HEYDE, K
JACHOWICZ, N
SAFAROV, VI
KAYE, GJ
SIEWERT, U
SCHIMANSKYGEIER, L
PALMER, RG
POTEMPA, H
WROBEL, J
KARCZEWSKI, G
WOJTOWICZ, T
CARTER, SA
ROSENBAUM, TF
TREVINO, SF
TERSOFF, J
BURKOV, AA
ZONG, F
FLORIAN, R
MACLAUGHLIN, DE
ANDRAKA, B
ESCHRIG, M
BORKAR, VS
RANGARAJAN, G
BRAUN, PA
VERGINI, E
WISNIACKI, DA
VELIKANOV, MV
KAPRAL, R
CENCINI, M
VERGNI, D
CHIU, T
FONSECA, PD
BIMONTE, G
GUPTA, KS
RODRIGUEZ, R
DATTA, N
BORODIN, A
BUENO, JCP
CAREY, A
HANNABUSS, K
MATHAI, V
BAKER, MW
KWAPIEN, J
LIU, LC
IOANNIDES, AA
ZANARDI, P
INFM, FRDU
TORINO, PD
REZNIK, YAB
OKUSHIMA, T
KOSHINO, K
YAMANISHI, M
ANGLIN, JR
FUCHS, CA
MOR, T
RAINS, E
SHOR, PW
SMOLIN, JA
WOOTTERS, WK
FORD, LH
PROFFEN, T
WELBERRY, TR
DAS, C
NIEUWENHUIZEN, T
LI, L
GRILLO, S
MONTANI, H
ERUKHIMOVICH, IY
HELBING, D
LEWIS, MA
TORQUATO, S
NETO, JFM
DINNER, AR
PERSSON, BNJ
TAKAYAMA, R
ARTZ, S
SCHULZ, M
TRIMPER, S
SASTRY, S
MENECH, MD
VALLE, RGD
VENUTI, E
CHAIEB, S
RICA, S
CHUNG, WJ
RUEFF, JP
GALERA, RM
GIORGETTI, C
DARTYGE, E
WEYMER, A
MCMAHAN, AK
ZAMBELLI, F
NUGMANOVA, GN
HIDALGO, XM
MANABE, K
ISHIMOTO, H
DURING, A
MOLNAR, P
SCHWEITZER, F
GRIFFIN, IJ
FAURE, F
PARISSE, B
BERGER, JE
SMULLIN, SJ
KARLIN, WL
PROBER, DE
IGNATIEV, MO
GAEVSKI, ME
BOBYL, AV
SHANTSEV, DV
KARMANENKO, SF
BAZILJEVICH, M
BERNSTEIN, N
AZIZ, MJ
WU, M
HAYASHI, T
TAKEYA, J
SISSON, DL
DOETTINGER, SG
TANAKA, I
FEIGELSON, RS
BRAAK, D
CUCOLO, AM
CUOCO, M
MAKSIMOV, EG
OUBOTER, RDB
OMELYANCHOUK, AN
GUTMAN, L
YOON, J
RUOHIO, JJ
DORNEICH, A
BERGSTEN, T
ABUSHIEKAH, IM
BERNAL, OO
BROM, HB
KOK, MLD
WITTEVEEN, JT
MITCHELL, SJ
NG, HK
SARRAO, J
SUBRAMANIAN, MA
SZCZECH, YH
KITANO, K
AOYAGI, T
POEPPEL, G
MICOULAUT, M
TROCCOLI, M
HAMMARLING, KJ
ELGAROEY, O
ISMAILBEIGI, S
ARIAS, T
SHEN, J
KOSTERLITZ, JHIBTAJM
ROMANO, A
RIVA, C
KELTSCH, J
YU, Z
BECK, A
BAUCH, T
PERAKIS, IE
BIGOT, JY
SMIT, W
BARTHELEMY, M
BERGMAN, DJ
KUITTU, MP
MUENTER, D
PRESSLER, H
KEIL, S
VOL, ED
PRADO, CPCD
MILOSEVIC, I
NIKOLIC, B
DAMNJANOVIC, M
KRCMAR, M
SCHNITZER, HJ
WYSIN, GM
WUNSCH, S
SCHLOESSER, E
AHR, M
MYRZAKULOV, R
PRONKO, AG
REHWALD, M
HERON, RJ
LUMPKIN, NE
GLEIM, T
NEUMAYR, A
ALBERICIKIOUS, F
DOUSSINEAU, P
LEVELUT, A
PARK, DK
SANTOS, FDL
GARRIDO, PL
BUNKER, A
DIMITROV, DA
CAPPELLINI, G
REBEI, A
HITCHON, WNG
MANUEL, AA
DHALLE, M
MARTI, F
GENOUD, J
VASUMATHI, D
ISHIBASHI, S
FISCHER, O
FLUEKIGER, R
POZZI, R
MALI, M
BRINKMANN, D
BUSLAPS, T
HONKIMAKI, V
SUORTTI, P
BRUNO, P
STOYTCHEV, M
GENACK, AZ
BERCIU, M
RAYCHAUDHURI, P
TANEJA, P
NIGAM, AK
AYYUB, P
PINTO, R
FREDERICO, T
CALEMCZUK, R
LEVY, L
HAMMOND, RB
SHUKLA, SP
STEINBECK, L
ROJAS, HN
KORUTCHEVA, E
RUBIA, FJDL
JOHNER, A
TURNER, MS
SETO, H
MILLER, P
NATH, TK
MILCHEV, A
ARIAS, TA
RODAHL, M
SHEN, JL
BITTNER, ER
KOSOV, DS
MITRA, C
DHAR, SK
LIPPERT, RA
EDELMAN, A
COSTA, OS
ANTORANZ, C
RADULESCU, O
STRUNZ, T
KLEMM, RA
ARNOLD, G
SILVA, JKLD
MISRA, S
GATT, R
SCHMAUDER, T
ZACCHIGNA, M
VOBORNIK, I
ZWICK, F
GRIONI, M
CHIEN, CJ
MOSSA, S
LITVINCHUK, AP
MAKHRO, VV
ENGENESS, TD
GIBBONS, F
GONGORAT, A
MENDEZ, EE
BRUNO, JD
PHAM, JT
ANTILLON, A
TSCHEUSCHNER, RD
HOCH, S
LESCHINSKY, E
MEIER, C
THEIS, S
WIECK, AD
MAIER, T
ZOELFL, MB
BABUSHKINA, NA
BELOVA, LM
OZHOGIN, VI
GORBENKO, OY
KAUL, AR
BOSAK, AA
KOZLOV, GG
MALYSHEV, VA
ZHONG, J
REPETOWICZ, P
MOLINI, R
TOLOZA, JH
CSANYI, G
NAGAO, T
MEYER, D
REDDY, GG
RAMAKANTH, A
SERGEENKOV, S
LEUZZI, L
REENTS, G
IRMER, B
BLICK, RH
GOEDEL, W
LORENZ, H
KEHRLE, M
LUNDH, E
HULT, E
RYDBERG, H
GIANSANTI, A
DELUZET, A
STAUFFER, MAD
MARINO, EC
CANALS, B
BEZRYADIN, A
WESTERVELT, RM
PETERSAN, PJ
BISANI, M
GOV, N
KORZHENEVSKII, AL
HERRMANNS, K
HEUER, HO
KRASNOV, VM
MROS, N
YURGENS, A
WINKLER, D
CLARKE, SM
GOETZE, W
SCHOEN, JC
YU, YK
TAYLOR, PL
ARANSON, IS
LINK, D
KOLTONYUK, M
PFEIFFER, N
ZANETTE, D
ZANETTE, DH
RUMMUKAINEN, K
TSYPIN, M
SHAPOSHNIKOV, M
MUNOZSUDUPE, A
BROADHURST, DJ
BOLDYREV, S
BORDNER, AJ
CORRIGAN, E
BABUJIAN, H
KAROWSKI, M
ZAPLETAL, A
CAREY, AL
KRISHNA, M
OBERMEIT, J
MOHIDEEN, U
ROY, A
VISSER, M
LIBERATI, S
BELGIORNO, F
SCIAMA, DW
STODOLSKY, L
RAKITIN, A
VALAKH, MY
KLYUI, NI
VISOTSKI, VG
APALKOV, VM
BOIKO, YI
SLEZOV, VV
CARSTANJEN, HD
BRAVINA, LV
ZABRODIN, EE
TAKIMOTO, T
MORIYA, T
SCATTONI, M
LEHRER, RA
GOODMAN, B
MILLER, M
YANNOULEAS, C
MCLEISH, TCB
TERRILL, NJ
RYAN, AJ
ALTMAN, E
JOHNSON, HT
FREUND, LB
AKYUZ, CD
ZASLAVSKY, A
YESILLETEN, D
NASTAR, M
PAXTON, AT
CAPPON, K
MACHADO, E
SAVVIDY, GK
SAWADA, K
GEIPEL, NJM
HESS, BA
FRIEDMAN, JR
E, J
LEONCINI, X
VERGA, AD
MELO, F
TRETYAKOV, VV
SURIS, RA
RUDIN, SP
BAUER, R
GHOSAL, A
JOVANOVIC, BZ
BONN, D
DUNSIGER, S
VIDAL, J
STEINBACH, F
GOMEZ, JB
MORENO, Y
PACHECO, AF
JONCKHEERE, R
FOULKES, WMC
CRACO, L
AMARI, S
BENE, G
MEETSMA, A
BOER, JLD
BISWAS, A
ELIZABETH, S
RAYCHAUDHURI, AK
BHAT, HL
LI, MR
AMRITKAR, RE
ROY, M
LANDMAN, U
REHKER, M
OLMSTED, DL
ZABURANNYI, O
TUCKER, JW
LEE, SY
UFFINK, J
DIS, JHVL
BOGACHEK, EN
KATSOV, K
TANDON, K
LAL, S
LOPEZRIOS, T
MENDOZA, D
SANCHEZDEHESA, J
VASSEUR, H
MADRID, RMDAD
CHOI, Y
JONASON, K
NORDBLAD, P
KOLESNIKOV, AV
LIPPERHEIDE, R
SILIN, AP
WILLE, U
TRETIAKOV, NP
RABELO, JNT
MALIS, O
LUDWIG, K
MOSES, P
UMENO, Y
LIU, HC
BUCHANAN, M
WASILEWSKI, ZR
JONSCHER, AK
BOYADJIEV, T
ALEXEEVA, N
ZITTARTZ, M
KEMEN, T
PRYADUN, VV
BRUNEL, V
GIROUD, M
KUMAGAI, A
EBISAWA, H
KUMAR, V
MILLIS, A
ANTORANZ, JC
HOANG, TX
VAKARCHUK, IO
BABIN, VV
GMACHL, C
FAIST, J
SIVCO, DL
CHO, AY
BORELLI, MES
BENATTAR, JJ
PYYKKOE, P
BEDELL, K
WEGEWIJS, MR
ECONOMOU, SXSNEEN
YAMAMOTO, R
ONUKI, A
DARGIS, P
MARKOVIC, N
MACK, AM
MARTINEZARIZALA, G
CHRISTIANSEN, C
GOLDMAN, AM
YAMAJI, K
KOIKE, S
FOURNIER, JB
BARJOSEPH, I
PUSHKAROV, DI
HIND, CN
NAZARENKO, AB
LOEWEN, H
CORREIA, JD
SCUILLER, A
VERDAGUER, M
SLAMAN, Z
BAINES, C
NAUMIS, GG
METZKE, R
JEHL, X
BRAITHWAITE, D
PAYETBURIN, P
LAMURA, A
MENDEZ, C
SIMONIN, JM
LALIENA, V
APPLEYARD, NJ
TRIBE, WR
TILCH, B
GOLUBKOV, MV
RUEFF, J
KAO, C
STRUZHKIN, VV
SHU, J
MAO, H
NEUDERT, R
KNUPFER, M
FINK, J
LADAVAC, K
KONSTANTINOVIC, MJ
BELIC, A
POPOVIC, ZV
FRETWELL, H
RAU, G
KLIPSTEIN, PC
KYCIA, JB
HONG, JI
SEIDMAN, DN
HALPERIN, WP
WATANABE, M
ITOH, KM
HALLER, EE
HENNION, M
MOUSSA, F
BIOTTEAU, G
RODRIGUEZCARVAJAL, J
PINSARD, L
IN, AKGCSE
ACQUARONE, M
GUSMAO, JRIMA
NOCE, C
RONNOW, HM
KNEER, B
VOGEL, K
SCHLEICH, WP
THOMAS, M
BLANK, HR
WONG, KC
KROEMER, H
HU, E
KISHIGI, K
LIU, M
SANCHEZ, MJ
TULLY, R
REITER, G
FUJITA, S
JIANG, Y
KOSTADT, P
DEPARTMENT, PGUHFYP
RAJESH, S
GLAZKOV, VN
SMIRNOV, AI
VETKIN, AG
EREMINA, RM
MOCA, CP
CRISAN, M
TIFREA, I
KOLESNIKOV, A
WILLIAMS, J
WALSER, R
COOPER, J
CORNELL, E
HOLLAND, M
SHIN, M
PARK, KW
LEE, E
AKINO, N
INO, A
MIZOKAWA, T
FUJIMORI, A
SASAGAWA, T
TAMASAKU, K
KURASOV, V
LEONYUK, LI
HARUTUNYAN, VV
HAKOBYAN, TS
HOVHANNESIAN, AS
GEVORKYAN, VA
GRIGORYAN, NE
AVAKYAN, AK
GRIGORYAN, VA
STARMARK, B
SIOMI, M
STILCK, JF
BROWN, TA
DWORECKI, K
